epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24807,1.32882,2.81083,1.25627,0.65879,0.27584,0.17742,0.10347,1.28949,2.62155,1.25796,0.000275096,0.000275096,0.000275096
2,14.4974,1.26587,1.89579,1.21266,0.4343,0.35273,0.24319,0.14505,1.33108,2.28246,1.27702,0.000550938,0.000550938,0.000550938
3,21.2275,1.3235,1.77191,1.22455,0.73052,0.32974,0.25769,0.14749,1.41606,2.15048,1.37667,0.000824948,0.000824948,0.000824948
4,27.1536,1.32186,1.75608,1.25732,0.59668,0.29996,0.26988,0.16034,1.40137,2.11482,1.41769,0.000824753,0.000824753,0.000824753
5,33.1451,1.28574,1.64983,1.21987,0.74378,0.3142,0.32953,0.20852,1.29123,2.15695,1.24429,0.000822004,0.000822004,0.000822004
6,39.0854,1.2814,1.62432,1.23143,0.53865,0.39435,0.32202,0.20483,1.33953,1.89445,1.29953,0.000819255,0.000819255,0.000819255
7,45.1783,1.2465,1.53263,1.20389,0.58285,0.35138,0.36104,0.22461,1.30878,1.74553,1.30492,0.000816507,0.000816507,0.000816507
8,51.8199,1.2548,1.47716,1.20569,0.31029,0.48333,0.37586,0.22566,1.29342,1.7045,1.27007,0.000813758,0.000813758,0.000813758
9,58.3026,1.21668,1.45145,1.18894,0.37331,0.4614,0.4067,0.2525,1.26351,1.66947,1.23814,0.000811009,0.000811009,0.000811009
10,64.1674,1.20652,1.43489,1.19158,0.62191,0.41502,0.3683,0.22467,1.295,1.61952,1.27672,0.00080826,0.00080826,0.00080826
11,70.1263,1.18562,1.41342,1.17814,0.46733,0.43439,0.41083,0.25196,1.28757,1.5976,1.2231,0.000805511,0.000805511,0.000805511
12,76.5589,1.17182,1.38856,1.15754,0.48647,0.46193,0.38804,0.25122,1.2921,1.59095,1.23659,0.000802762,0.000802762,0.000802762
13,83.232,1.18761,1.37487,1.19162,0.45733,0.50422,0.40317,0.24946,1.24794,1.58665,1.24346,0.000800013,0.000800013,0.000800013
14,89.5089,1.18253,1.3593,1.1688,0.51096,0.50012,0.44356,0.28135,1.23583,1.57238,1.20266,0.000797264,0.000797264,0.000797264
15,95.8025,1.17034,1.3581,1.15932,0.43384,0.51519,0.44937,0.27303,1.26081,1.53597,1.23601,0.000794515,0.000794515,0.000794515
16,102.108,1.14981,1.3095,1.16874,0.4148,0.52088,0.43639,0.2631,1.28683,1.44472,1.24832,0.000791767,0.000791767,0.000791767
17,108.186,1.14864,1.30307,1.16717,0.48986,0.5008,0.4457,0.28961,1.2365,1.47028,1.24047,0.000789018,0.000789018,0.000789018
18,114.08,1.14868,1.283,1.15431,0.42044,0.56456,0.43473,0.27816,1.21368,1.474,1.20276,0.000786269,0.000786269,0.000786269
19,119.948,1.14817,1.28527,1.1504,0.55952,0.44905,0.44945,0.28238,1.2511,1.47588,1.23282,0.00078352,0.00078352,0.00078352
20,125.739,1.1163,1.25304,1.13568,0.57694,0.45738,0.43871,0.27853,1.23128,1.612,1.201,0.000780771,0.000780771,0.000780771
21,131.599,1.10908,1.23686,1.14189,0.5649,0.52628,0.45221,0.28434,1.21859,1.44268,1.18773,0.000778022,0.000778022,0.000778022
22,137.606,1.10049,1.24712,1.11063,0.49503,0.47118,0.45343,0.28297,1.21874,1.46943,1.21697,0.000775273,0.000775273,0.000775273
23,143.479,1.10486,1.21941,1.13482,0.5731,0.50816,0.46391,0.29983,1.21542,1.51984,1.19013,0.000772524,0.000772524,0.000772524
24,150.547,1.09155,1.22391,1.13263,0.61692,0.5543,0.5149,0.32541,1.23128,1.32383,1.22891,0.000769775,0.000769775,0.000769775
25,156.998,1.10414,1.23922,1.14342,0.62005,0.50463,0.49196,0.31264,1.20377,1.49973,1.21304,0.000767026,0.000767026,0.000767026
26,163.529,1.105,1.21087,1.14031,0.56766,0.51653,0.50034,0.31569,1.22993,1.36678,1.24566,0.000764278,0.000764278,0.000764278
27,170.076,1.08802,1.18174,1.12574,0.57267,0.5334,0.5186,0.3307,1.22601,1.35704,1.23265,0.000761529,0.000761529,0.000761529
28,177.072,1.07009,1.15537,1.11759,0.56927,0.54621,0.50169,0.31106,1.25313,1.3996,1.25409,0.00075878,0.00075878,0.00075878
29,183.296,1.07976,1.17653,1.12104,0.49587,0.50215,0.46798,0.30321,1.20557,1.58862,1.24067,0.000756031,0.000756031,0.000756031
30,189.399,1.07586,1.13884,1.11962,0.53341,0.53552,0.5016,0.31188,1.2594,1.34495,1.2955,0.000753282,0.000753282,0.000753282
31,195.365,1.04535,1.12517,1.10044,0.53245,0.53518,0.47125,0.30439,1.20501,1.51651,1.19015,0.000750533,0.000750533,0.000750533
32,201.442,1.07188,1.13538,1.11387,0.59025,0.54483,0.50835,0.32304,1.16711,1.49101,1.20154,0.000747784,0.000747784,0.000747784
33,207.813,1.04957,1.11249,1.10422,0.5932,0.57381,0.52362,0.33883,1.1935,1.44914,1.2153,0.000745035,0.000745035,0.000745035
34,214.098,1.04184,1.11826,1.10274,0.48867,0.53539,0.51375,0.33042,1.20998,1.29901,1.22186,0.000742286,0.000742286,0.000742286
35,220.397,1.06512,1.1261,1.10863,0.60876,0.56826,0.53173,0.34451,1.19414,1.29494,1.20982,0.000739537,0.000739537,0.000739537
36,227.06,1.05215,1.11256,1.14049,0.59059,0.51857,0.50834,0.31943,1.19261,1.41926,1.21916,0.000736788,0.000736788,0.000736788
37,233.103,1.05558,1.11582,1.09892,0.5055,0.55434,0.5114,0.32563,1.20135,1.31123,1.22324,0.00073404,0.00073404,0.00073404
38,239.297,1.0613,1.12838,1.11148,0.66527,0.53663,0.5485,0.34679,1.18538,1.30222,1.20146,0.000731291,0.000731291,0.000731291
39,245.758,1.06494,1.12449,1.12351,0.65359,0.53186,0.54055,0.34941,1.18845,1.31684,1.19212,0.000728542,0.000728542,0.000728542
40,251.885,1.03185,1.06981,1.08951,0.56705,0.51587,0.5312,0.33792,1.20393,1.34901,1.225,0.000725793,0.000725793,0.000725793
41,257.89,1.02363,1.06286,1.09416,0.56333,0.55581,0.55512,0.35816,1.16022,1.27068,1.17709,0.000723044,0.000723044,0.000723044
42,264.047,1.01552,1.10377,1.09871,0.65625,0.52727,0.54738,0.35509,1.15955,1.22597,1.17275,0.000720295,0.000720295,0.000720295
43,270.184,1.01994,1.04154,1.09032,0.53598,0.58402,0.56629,0.35702,1.1841,1.29082,1.20653,0.000717546,0.000717546,0.000717546
44,276.458,1.01577,1.04462,1.09683,0.6384,0.52516,0.51352,0.33382,1.16135,1.39328,1.19264,0.000714797,0.000714797,0.000714797
45,282.405,1.01027,1.01691,1.073,0.50538,0.52829,0.49218,0.32197,1.18681,1.39682,1.21083,0.000712048,0.000712048,0.000712048
46,288.508,1.01224,1.02436,1.08807,0.50852,0.60437,0.54197,0.34463,1.19614,1.27953,1.22684,0.000709299,0.000709299,0.000709299
47,294.536,0.99455,1.02257,1.07843,0.52775,0.51992,0.53517,0.34876,1.17936,1.35422,1.21578,0.000706551,0.000706551,0.000706551
48,300.747,1.00394,1.00851,1.08839,0.57874,0.58634,0.56988,0.37003,1.17155,1.24165,1.18601,0.000703802,0.000703802,0.000703802
49,307.227,1.00679,1.03089,1.08528,0.5708,0.56142,0.54224,0.35935,1.17132,1.23665,1.18228,0.000701053,0.000701053,0.000701053
50,313.052,0.98895,1.06276,1.06819,0.60351,0.53602,0.56191,0.36967,1.17255,1.2756,1.21342,0.000698304,0.000698304,0.000698304
51,319.234,0.96797,1.01484,1.06741,0.69105,0.58519,0.58626,0.37595,1.17382,1.19491,1.19681,0.000695555,0.000695555,0.000695555
52,325.838,1.01196,1.01488,1.08097,0.61046,0.602,0.58787,0.38178,1.16754,1.14158,1.19881,0.000692806,0.000692806,0.000692806
53,332.441,0.97027,0.9758,1.06576,0.62048,0.57209,0.56892,0.37085,1.16375,1.22685,1.19898,0.000690057,0.000690057,0.000690057
54,338.32,0.98932,1.00013,1.07699,0.69022,0.551,0.55227,0.34837,1.21694,1.25313,1.21248,0.000687308,0.000687308,0.000687308
55,344.421,0.99856,1.01802,1.08092,0.68591,0.58187,0.58584,0.38621,1.15698,1.23982,1.18562,0.000684559,0.000684559,0.000684559
56,350.454,0.95183,0.96036,1.06339,0.57476,0.53714,0.55417,0.36406,1.14495,1.30697,1.18076,0.00068181,0.00068181,0.00068181
57,356.554,0.97409,0.96999,1.06254,0.6743,0.55686,0.55123,0.35035,1.15958,1.30271,1.19443,0.000679062,0.000679062,0.000679062
58,362.672,0.96041,0.95932,1.06161,0.74767,0.58543,0.60563,0.38619,1.15927,1.14102,1.18641,0.000676313,0.000676313,0.000676313
59,368.85,0.96625,0.97597,1.05509,0.73324,0.55628,0.59089,0.38655,1.1487,1.19902,1.18798,0.000673564,0.000673564,0.000673564
60,375.063,0.97225,0.96791,1.07336,0.62835,0.57557,0.5833,0.37597,1.15716,1.2744,1.18659,0.000670815,0.000670815,0.000670815
61,381,0.96821,0.98874,1.07803,0.65383,0.60165,0.6006,0.3868,1.16301,1.18521,1.19273,0.000668066,0.000668066,0.000668066
62,387.392,0.948,0.95257,1.05323,0.64328,0.60278,0.60262,0.38864,1.173,1.15145,1.19158,0.000665317,0.000665317,0.000665317
63,393.65,0.93851,0.94907,1.05835,0.76452,0.57347,0.59472,0.38079,1.16198,1.16578,1.19248,0.000662568,0.000662568,0.000662568
64,399.445,0.97742,0.96178,1.06362,0.59067,0.58116,0.57019,0.36738,1.1424,1.27802,1.17827,0.000659819,0.000659819,0.000659819
65,405.399,0.97511,0.95862,1.06677,0.64496,0.61436,0.60318,0.37464,1.18819,1.17883,1.20966,0.00065707,0.00065707,0.00065707
66,411.238,0.95566,0.94087,1.06545,0.61139,0.59155,0.58141,0.37216,1.18975,1.19811,1.19779,0.000654321,0.000654321,0.000654321
67,417.4,0.95757,0.92277,1.07028,0.66407,0.59476,0.59265,0.38312,1.1768,1.20927,1.21154,0.000651573,0.000651573,0.000651573
68,423.517,0.97236,0.91693,1.07888,0.62771,0.57845,0.61122,0.39729,1.16129,1.13372,1.19397,0.000648824,0.000648824,0.000648824
69,429.562,0.92431,0.91799,1.04961,0.76967,0.57479,0.60127,0.38263,1.15733,1.19061,1.19176,0.000646075,0.000646075,0.000646075
70,435.433,0.95496,0.9214,1.0596,0.64965,0.5715,0.58682,0.3753,1.14882,1.15887,1.18318,0.000643326,0.000643326,0.000643326
71,441.59,0.93954,0.90872,1.04182,0.59257,0.61265,0.59508,0.38523,1.13341,1.12322,1.17972,0.000640577,0.000640577,0.000640577
72,447.427,0.93748,0.90316,1.06182,0.61378,0.58958,0.58065,0.38251,1.1324,1.19778,1.15958,0.000637828,0.000637828,0.000637828
73,453.405,0.92828,0.90465,1.04933,0.57296,0.5938,0.58038,0.37749,1.13773,1.24213,1.17614,0.000635079,0.000635079,0.000635079
74,459.318,0.95504,0.92155,1.05953,0.64776,0.56913,0.57659,0.36878,1.14617,1.18814,1.19027,0.00063233,0.00063233,0.00063233
75,465.082,0.95261,0.90294,1.05528,0.58756,0.63868,0.6159,0.39629,1.15179,1.22168,1.17671,0.000629581,0.000629581,0.000629581
76,470.95,0.93607,0.92852,1.05875,0.59228,0.56494,0.58446,0.38142,1.16104,1.18914,1.20769,0.000626832,0.000626832,0.000626832
77,476.885,0.93046,0.90633,1.04932,0.59253,0.58147,0.58807,0.37838,1.15851,1.1757,1.19027,0.000624084,0.000624084,0.000624084
78,482.943,0.91318,0.88181,1.0482,0.74957,0.58278,0.61388,0.39338,1.1547,1.22572,1.17782,0.000621335,0.000621335,0.000621335
79,488.896,0.91517,0.8794,1.04649,0.60767,0.61842,0.61322,0.39106,1.14113,1.13376,1.18577,0.000618586,0.000618586,0.000618586
80,494.598,0.92384,0.87561,1.04453,0.66802,0.61512,0.61132,0.38641,1.15868,1.12762,1.17724,0.000615837,0.000615837,0.000615837
81,500.502,0.91947,0.86729,1.0428,0.65698,0.62196,0.6243,0.39877,1.17762,1.11107,1.20356,0.000613088,0.000613088,0.000613088
82,506.971,0.9429,0.88262,1.0485,0.59357,0.59243,0.57523,0.36866,1.16172,1.24346,1.1954,0.000610339,0.000610339,0.000610339
83,512.985,0.91594,0.8691,1.03956,0.64285,0.58751,0.60657,0.39281,1.14874,1.11045,1.19212,0.00060759,0.00060759,0.00060759
84,518.923,0.92038,0.89414,1.05471,0.65016,0.59626,0.60348,0.3981,1.14999,1.12571,1.18733,0.000604841,0.000604841,0.000604841
85,525.336,0.89474,0.86377,1.04249,0.69736,0.62043,0.62766,0.40029,1.1428,1.08377,1.17921,0.000602092,0.000602092,0.000602092
86,531.459,0.90812,0.8714,1.04075,0.57453,0.59331,0.60405,0.39128,1.12416,1.15072,1.17247,0.000599343,0.000599343,0.000599343
87,537.297,0.90877,0.89415,1.04577,0.68081,0.60675,0.61946,0.38837,1.15191,1.13694,1.19999,0.000596595,0.000596595,0.000596595
88,543.675,0.91345,0.84749,1.03325,0.67844,0.60801,0.6174,0.39471,1.13217,1.14202,1.17217,0.000593846,0.000593846,0.000593846
89,549.413,0.91232,0.86601,1.04071,0.64019,0.644,0.61305,0.40054,1.12408,1.10442,1.17994,0.000591097,0.000591097,0.000591097
90,555.537,0.9324,0.88171,1.04954,0.62856,0.59597,0.59765,0.37864,1.14492,1.15214,1.17197,0.000588348,0.000588348,0.000588348
91,561.328,0.89352,0.84508,1.02509,0.64989,0.58353,0.60728,0.3865,1.1393,1.19508,1.17499,0.000585599,0.000585599,0.000585599
92,567.082,0.89385,0.84513,1.03397,0.64336,0.58594,0.59403,0.38973,1.11284,1.15919,1.16309,0.00058285,0.00058285,0.00058285
93,573.208,0.8944,0.83082,1.03992,0.67053,0.59729,0.60505,0.38192,1.13573,1.19377,1.16442,0.000580101,0.000580101,0.000580101
94,579.059,0.89901,0.8468,1.03491,0.58942,0.60293,0.5744,0.37484,1.11569,1.21468,1.16321,0.000577352,0.000577352,0.000577352
95,585.12,0.89074,0.85182,1.03065,0.65041,0.61965,0.61354,0.40458,1.11726,1.16139,1.18098,0.000574603,0.000574603,0.000574603
96,591.638,0.8863,0.82875,1.02515,0.66155,0.62949,0.63186,0.40038,1.16139,1.08614,1.20664,0.000571854,0.000571854,0.000571854
97,597.365,0.88765,0.83432,1.02312,0.69046,0.63134,0.6314,0.40671,1.13203,1.0908,1.17699,0.000569106,0.000569106,0.000569106
98,603.441,0.90792,0.8345,1.03783,0.6372,0.62271,0.6,0.37736,1.14834,1.18177,1.19018,0.000566357,0.000566357,0.000566357
99,609.54,0.88029,0.81407,1.02382,0.65812,0.63387,0.62218,0.40138,1.11326,1.12809,1.17592,0.000563608,0.000563608,0.000563608
100,615.102,0.87375,0.81811,1.01916,0.65253,0.63012,0.62259,0.39687,1.13327,1.1323,1.1914,0.000560859,0.000560859,0.000560859
101,621.214,0.89749,0.80773,1.02443,0.62051,0.63773,0.62625,0.39981,1.13233,1.1246,1.17989,0.00055811,0.00055811,0.00055811
102,627.42,0.88752,0.81987,1.02436,0.64437,0.62139,0.61445,0.39528,1.13031,1.12183,1.17899,0.000555361,0.000555361,0.000555361
103,633.138,0.88371,0.80603,1.02538,0.65597,0.61178,0.61832,0.39523,1.13144,1.1152,1.17123,0.000552612,0.000552612,0.000552612
104,639.323,0.85945,0.78609,1.0118,0.67329,0.61898,0.61404,0.39925,1.117,1.08441,1.16671,0.000549863,0.000549863,0.000549863
105,645.147,0.86824,0.79046,1.01312,0.59882,0.63913,0.61181,0.39093,1.14583,1.15243,1.2049,0.000547114,0.000547114,0.000547114
106,651.17,0.88185,0.80268,1.02448,0.67025,0.58745,0.61807,0.4014,1.14774,1.1044,1.18583,0.000544365,0.000544365,0.000544365
107,657.113,0.87194,0.79744,1.01934,0.64379,0.61582,0.60994,0.39794,1.14191,1.18613,1.18372,0.000541617,0.000541617,0.000541617
108,662.996,0.8707,0.79292,1.01597,0.70435,0.65502,0.64753,0.41408,1.12377,1.09791,1.18678,0.000538868,0.000538868,0.000538868
109,669.378,0.87334,0.79693,1.02227,0.67723,0.61677,0.62012,0.40304,1.12818,1.09614,1.18445,0.000536119,0.000536119,0.000536119
110,675.529,0.86194,0.77185,1.01636,0.68295,0.63176,0.62721,0.39591,1.12834,1.14764,1.18497,0.00053337,0.00053337,0.00053337
111,681.446,0.85936,0.78964,1.00859,0.65967,0.62209,0.61809,0.39881,1.15456,1.14379,1.20624,0.000530621,0.000530621,0.000530621
112,687.28,0.86653,0.78267,1.01711,0.64788,0.62266,0.61754,0.39536,1.15462,1.13582,1.20304,0.000527872,0.000527872,0.000527872
113,693.209,0.86766,0.77495,1.019,0.61729,0.62982,0.60861,0.39337,1.14218,1.13427,1.19073,0.000525123,0.000525123,0.000525123
114,698.988,0.86187,0.77216,1.01156,0.65814,0.60922,0.60005,0.38804,1.13801,1.15941,1.19236,0.000522374,0.000522374,0.000522374
115,705.133,0.87499,0.77751,1.00786,0.65351,0.61032,0.61454,0.40324,1.12433,1.08458,1.17294,0.000519625,0.000519625,0.000519625
116,711.393,0.87173,0.80502,1.0203,0.6239,0.6236,0.62092,0.40252,1.1312,1.12063,1.17926,0.000516877,0.000516877,0.000516877
117,717.666,0.85056,0.74933,1.00846,0.66101,0.61566,0.63166,0.40117,1.13997,1.08385,1.18435,0.000514128,0.000514128,0.000514128
118,723.798,0.84806,0.7556,1.00643,0.66119,0.66657,0.63398,0.40945,1.12496,1.10261,1.17463,0.000511379,0.000511379,0.000511379
119,729.577,0.8667,0.78122,1.0133,0.65385,0.64701,0.63189,0.41322,1.12491,1.10532,1.16331,0.00050863,0.00050863,0.00050863
120,735.347,0.85929,0.76216,1.02412,0.6587,0.63231,0.61251,0.39659,1.13983,1.17109,1.18818,0.000505881,0.000505881,0.000505881
121,741.638,0.85351,0.75444,1.00969,0.65624,0.64372,0.61757,0.4005,1.11593,1.09718,1.17288,0.000503132,0.000503132,0.000503132
122,747.804,0.85308,0.76917,1.00993,0.64369,0.61186,0.61017,0.40417,1.10934,1.12946,1.16948,0.000500383,0.000500383,0.000500383
123,754.783,0.85097,0.77799,1.01019,0.67443,0.61315,0.6121,0.40351,1.09188,1.13533,1.15698,0.000497634,0.000497634,0.000497634
124,761.33,0.84723,0.75552,1.00785,0.67546,0.61158,0.62547,0.40397,1.12318,1.12622,1.17928,0.000494885,0.000494885,0.000494885
125,767.304,0.86222,0.77462,1.01222,0.70037,0.6258,0.61723,0.39946,1.09943,1.13234,1.16721,0.000492136,0.000492136,0.000492136
126,774.021,0.83305,0.74975,1.00632,0.78941,0.56157,0.6145,0.4045,1.10987,1.12512,1.16615,0.000489387,0.000489387,0.000489387
