epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92935,3.09823,6.95247,1.52349,0.9326,0.05585,0.0726,0.02615,2.48238,6.17,1.17185,0.00329588,0.00329588,0.00329588
2,15.0747,2.85018,4.62184,1.36715,0.66002,0.13913,0.11077,0.03933,2.67646,4.22117,1.22419,0.00662265,0.00662265,0.00662265
3,22.1502,2.97358,3.86091,1.40685,0.67008,0.09565,0.06971,0.02025,3.0776,10.1118,1.41837,0.00994282,0.00994282,0.00994282
4,29.3081,3.09669,3.54343,1.45001,0.64491,0.08694,0.04372,0.01215,3.28879,4.75532,1.37622,0.0099703,0.0099703,0.0099703
5,36.6782,3.10235,3.25349,1.45367,0.58825,0.07391,0.03347,0.00931,3.46867,17.3351,1.67736,0.0099604,0.0099604,0.0099604
6,43.997,3.03576,3.0727,1.42202,0.6373,0.1087,0.04741,0.01961,2.68093,2.86351,1.27252,0.0099505,0.0099505,0.0099505
7,51.3162,3.06346,3.09781,1.49235,0.6007,0.15217,0.05807,0.01676,2.80904,5.29934,1.42378,0.0099406,0.0099406,0.0099406
8,58.5973,2.97459,2.85356,1.42893,0.62281,0.13913,0.06888,0.02035,2.73948,2.82718,1.31672,0.0099307,0.0099307,0.0099307
9,65.8041,3.02615,2.652,1.3858,0.60372,0.06087,0.03577,0.0074,3.39439,3.23787,1.45552,0.0099208,0.0099208,0.0099208
10,73.0683,2.96477,2.64925,1.36386,0.65797,0.14783,0.10203,0.03149,2.91242,2.98111,1.24899,0.0099109,0.0099109,0.0099109
11,80.2871,2.92049,2.48791,1.37205,0.70904,0.16869,0.12218,0.04023,2.58618,2.18637,1.20997,0.009901,0.009901,0.009901
12,87.5377,2.8912,2.49532,1.34857,0.68307,0.1913,0.11213,0.04017,2.35376,2.09352,1.15676,0.0098911,0.0098911,0.0098911
13,94.7432,2.85512,2.44757,1.34172,0.19836,0.21867,0.13704,0.04198,2.81423,2.67045,1.28642,0.0098812,0.0098812,0.0098812
14,101.982,2.82244,2.4568,1.34103,0.73403,0.16522,0.17602,0.05705,2.92382,2.90466,1.28601,0.0098713,0.0098713,0.0098713
15,109.192,2.74461,2.37301,1.33426,0.21508,0.18696,0.14024,0.04657,2.88963,1.97641,1.29423,0.0098614,0.0098614,0.0098614
16,116.482,2.70755,2.30549,1.34208,0.73767,0.18516,0.16471,0.05918,2.46097,3.54703,1.22883,0.0098515,0.0098515,0.0098515
17,123.792,2.70392,2.27813,1.30242,0.28212,0.2,0.20626,0.0775,2.414,1.91866,1.19475,0.0098416,0.0098416,0.0098416
18,131.111,2.71214,2.19396,1.28927,0.73431,0.21304,0.18857,0.07267,2.46486,2.12781,1.10916,0.0098317,0.0098317,0.0098317
19,138.442,2.69423,2.21475,1.30695,0.70217,0.20435,0.16698,0.06101,2.48008,1.85137,1.12458,0.0098218,0.0098218,0.0098218
20,145.688,2.70305,2.20838,1.28583,0.73559,0.15217,0.16263,0.06748,2.68206,1.93612,1.2713,0.0098119,0.0098119,0.0098119
21,152.919,2.52224,2.03725,1.28735,0.71542,0.17391,0.16716,0.06267,2.51119,1.89559,1.17289,0.009802,0.009802,0.009802
22,160.207,2.68155,2.19058,1.28449,0.70108,0.18261,0.14844,0.05731,2.5585,2.31038,1.22576,0.0097921,0.0097921,0.0097921
23,167.56,2.65679,2.15405,1.29856,0.29132,0.19565,0.21533,0.07956,2.397,1.90023,1.20536,0.0097822,0.0097822,0.0097822
24,174.907,2.65305,2.14226,1.30921,0.74837,0.21458,0.21983,0.09436,2.18141,1.74706,1.14472,0.0097723,0.0097723,0.0097723
25,182.287,2.49177,2.04659,1.27279,0.73372,0.25217,0.21769,0.08412,2.21781,1.75765,1.13158,0.0097624,0.0097624,0.0097624
26,189.601,2.57288,2.04186,1.29115,0.22517,0.22174,0.20836,0.07713,2.54577,1.67733,1.20576,0.0097525,0.0097525,0.0097525
27,196.942,2.6015,2.02361,1.26241,0.40239,0.24875,0.22144,0.09019,2.1992,1.57942,1.09719,0.0097426,0.0097426,0.0097426
28,204.235,2.66259,2.12784,1.27,0.1737,0.27391,0.19442,0.06985,2.30719,1.71587,1.12076,0.0097327,0.0097327,0.0097327
29,211.587,2.60231,2.0618,1.2612,0.32737,0.23475,0.21787,0.08532,2.23951,1.89039,1.14162,0.0097228,0.0097228,0.0097228
30,218.888,2.56588,2.02727,1.25377,0.28731,0.22237,0.21994,0.08545,2.23955,1.73628,1.11195,0.0097129,0.0097129,0.0097129
31,226.234,2.49092,1.90126,1.21478,0.39707,0.26202,0.2594,0.11235,2.27329,1.5762,1.12042,0.009703,0.009703,0.009703
32,233.509,2.5659,1.93932,1.25401,0.29681,0.22605,0.19662,0.08172,2.2299,1.60986,1.10181,0.0096931,0.0096931,0.0096931
33,240.803,2.51833,1.93313,1.24391,0.77477,0.23043,0.24583,0.09987,2.10695,1.41504,1.06318,0.0096832,0.0096832,0.0096832
34,248.148,2.50812,1.98482,1.20305,0.30024,0.23913,0.22093,0.08833,2.32173,1.71678,1.11624,0.0096733,0.0096733,0.0096733
35,255.484,2.49068,1.93815,1.25859,0.78983,0.25652,0.26307,0.10161,2.44045,1.62579,1.13226,0.0096634,0.0096634,0.0096634
36,262.754,2.44585,1.88778,1.22016,0.49879,0.27373,0.25912,0.10287,2.2744,1.63613,1.0902,0.0096535,0.0096535,0.0096535
37,270.035,2.49006,1.94775,1.255,0.27846,0.22174,0.2306,0.08996,2.28357,1.59967,1.14411,0.0096436,0.0096436,0.0096436
